rank,name,pos,team,adp,ecr
1,Ja'Marr Chase,WR,CIN,3.0,2
2,Jahmyr Gibbs,RB,DET,1.0,1
3,Puka Nacua,WR,LAR,6.0,4
4,Jaxon Smith-Njigba,WR,SEA,8.0,5
5,Bijan Robinson,RB,ATL,2.0,3
6,Amon-Ra St. Brown,WR,DET,12.0,6
7,Jonathan Taylor,RB,IND,5.0,7
8,Justin Jefferson,WR,MIN,16.0,11
9,CeeDee Lamb,WR,DAL,14.0,9
10,James Cook III,RB,BUF,7.0,8
11,Drake London,WR,ATL,22.0,15
12,A.J. Brown,WR,NE,24.0,12
13,Christian McCaffrey,RB,SF,4.0,10
14,Malik Nabers,WR,NYG,30.0,26
15,Nico Collins,WR,HOU,26.0,14
16,Trey McBride,TE,ARI,21.0,21
17,Chase Brown,RB,CIN,17.0,19
18,Chris Olave,WR,NO,29.0,23
19,George Pickens,WR,DAL,28.0,18
20,Garrett Wilson,WR,NYJ,37.0,46
21,De'Von Achane,RB,MIA,9.0,22
22,Brock Bowers,TE,LV,25.0,17
23,Ashton Jeanty,RB,LV,10.0,27
24,Kenneth Walker III,RB,KC,19.0,20
25,Josh Allen,QB,BUF,18.0,25
26,Rashee Rice,WR,KC,33.0,29
27,Drake Maye,QB,NE,55.0,34
28,DeVonta Smith,WR,PHI,44.0,32
29,Ladd McConkey,WR,LAC,45.0,42
30,Lamar Jackson,QB,BAL,34.0,28
31,Saquon Barkley,RB,PHI,15.0,16
32,Colston Loveland,TE,CHI,46.0,37
33,Omarion Hampton,RB,LAC,13.0,24
34,Jeremiyah Love,RB,ARI,23.0,44
35,Tee Higgins,WR,CIN,41.0,33
36,Tetairoa McMillan,WR,CAR,38.0,39
37,Jayden Daniels,QB,WAS,66.0,51
38,Luther Burden III,WR,CHI,42.0,57
39,Kyren Williams,RB,LAR,20.0,30
40,Davante Adams,WR,LAR,54.0,45
41,Breece Hall,RB,NYJ,32.0,40
42,Terry McLaurin,WR,WAS,59.0,49
43,Josh Jacobs,RB,GB,27.0,36
44,Emeka Egbuka,WR,TB,51.0,38
45,Jaylen Waddle,WR,DEN,49.0,41
46,Javonte Williams,RB,DAL,31.0,35
47,Derrick Henry,RB,BAL,11.0,13
48,Zay Flowers,WR,BAL,43.0,31
49,DJ Moore,WR,BUF,47.0,61
50,Travis Etienne Jr.,RB,NO,35.0,48
51,Jameson Williams,WR,DET,56.0,47
52,Mike Evans,WR,SF,61.0,60
53,Cam Skattebo,RB,NYG,40.0,55
54,Joe Burrow,QB,CIN,57.0,43
55,Christian Watson,WR,GB,70.0,52
56,D'Andre Swift,RB,CHI,52.0,50
57,Tyler Warren,TE,IND,58.0,62
58,David Montgomery,RB,HOU,53.0,58
59,Jalen Hurts,QB,PHI,68.0,54
60,Parker Washington,WR,JAC,73.0,69
61,Quinshon Judkins,RB,CLE,39.0,53
62,Rome Odunze,WR,CHI,65.0,56
63,Justin Herbert,QB,LAC,88.0,68
64,Carnell Tate,WR,TEN,72.0,75
65,Bucky Irving,RB,TB,36.0,59
66,Harold Fannin Jr.,TE,CLE,64.0,87
67,Bhayshul Tuten,RB,JAC,50.0,63
68,Marvin Harrison Jr.,WR,ARI,85.0,70
69,Brian Thomas Jr.,WR,JAC,83.0,73
70,Trevor Lawrence,QB,JAC,89.0,72
71,Chris Godwin Jr.,WR,TB,84.0,90
72,TreVeyon Henderson,RB,NE,48.0,67
